timestamp, memory.used [MiB], utilization.gpu [%]
2026/04/23 23:14:44.656, 14 MiB, 0 %
2026/04/23 23:14:45.657, 14 MiB, 0 %
2026/04/23 23:14:46.657, 14 MiB, 0 %
2026/04/23 23:14:47.657, 14 MiB, 0 %
2026/04/23 23:14:48.658, 14 MiB, 0 %
2026/04/23 23:14:49.658, 14 MiB, 0 %
2026/04/23 23:14:50.658, 14 MiB, 0 %
2026/04/23 23:14:51.658, 14 MiB, 0 %
2026/04/23 23:14:52.659, 14 MiB, 0 %
2026/04/23 23:14:53.659, 14 MiB, 0 %
2026/04/23 23:14:54.659, 14 MiB, 0 %
2026/04/23 23:14:55.660, 14 MiB, 0 %
2026/04/23 23:14:56.660, 14 MiB, 0 %
2026/04/23 23:14:57.660, 14 MiB, 0 %
2026/04/23 23:14:58.660, 14 MiB, 0 %
